fieldbridge_id	source_dataset	pair_id	modality	field_strength	paired_field_strength	relative_path	split_group
ADNI_T1W_0401	adni	ADNI_T1W_0401	T1W	1.5T	3T	data/adni/ADNI_T1W_0401/ADNI_T1W_0401_T1W_1.5T.nii.gz	adni:ADNI_T1W_0401
ADNI_T1W_0401	adni	ADNI_T1W_0401	T1W	3T	1.5T	data/adni/ADNI_T1W_0401/ADNI_T1W_0401_T1W_3T.nii.gz	adni:ADNI_T1W_0401
ADNI_T1W_0402	adni	ADNI_T1W_0402	T1W	1.5T	3T	data/adni/ADNI_T1W_0402/ADNI_T1W_0402_T1W_1.5T.nii.gz	adni:ADNI_T1W_0402
ADNI_T1W_0402	adni	ADNI_T1W_0402	T1W	3T	1.5T	data/adni/ADNI_T1W_0402/ADNI_T1W_0402_T1W_3T.nii.gz	adni:ADNI_T1W_0402
ADNI_T1W_0403	adni	ADNI_T1W_0403	T1W	1.5T	3T	data/adni/ADNI_T1W_0403/ADNI_T1W_0403_T1W_1.5T.nii.gz	adni:ADNI_T1W_0403
ADNI_T1W_0403	adni	ADNI_T1W_0403	T1W	3T	1.5T	data/adni/ADNI_T1W_0403/ADNI_T1W_0403_T1W_3T.nii.gz	adni:ADNI_T1W_0403
ADNI_T1W_0404	adni	ADNI_T1W_0404	T1W	1.5T	3T	data/adni/ADNI_T1W_0404/ADNI_T1W_0404_T1W_1.5T.nii.gz	adni:ADNI_T1W_0404
ADNI_T1W_0404	adni	ADNI_T1W_0404	T1W	3T	1.5T	data/adni/ADNI_T1W_0404/ADNI_T1W_0404_T1W_3T.nii.gz	adni:ADNI_T1W_0404
ADNI_T1W_0405	adni	ADNI_T1W_0405	T1W	1.5T	3T	data/adni/ADNI_T1W_0405/ADNI_T1W_0405_T1W_1.5T.nii.gz	adni:ADNI_T1W_0405
ADNI_T1W_0405	adni	ADNI_T1W_0405	T1W	3T	1.5T	data/adni/ADNI_T1W_0405/ADNI_T1W_0405_T1W_3T.nii.gz	adni:ADNI_T1W_0405
ADNI_T1W_0406	adni	ADNI_T1W_0406	T1W	1.5T	3T	data/adni/ADNI_T1W_0406/ADNI_T1W_0406_T1W_1.5T.nii.gz	adni:ADNI_T1W_0406
ADNI_T1W_0406	adni	ADNI_T1W_0406	T1W	3T	1.5T	data/adni/ADNI_T1W_0406/ADNI_T1W_0406_T1W_3T.nii.gz	adni:ADNI_T1W_0406
ADNI_T1W_0407	adni	ADNI_T1W_0407	T1W	1.5T	3T	data/adni/ADNI_T1W_0407/ADNI_T1W_0407_T1W_1.5T.nii.gz	adni:ADNI_T1W_0407
ADNI_T1W_0407	adni	ADNI_T1W_0407	T1W	3T	1.5T	data/adni/ADNI_T1W_0407/ADNI_T1W_0407_T1W_3T.nii.gz	adni:ADNI_T1W_0407
ADNI_T1W_0408	adni	ADNI_T1W_0408	T1W	1.5T	3T	data/adni/ADNI_T1W_0408/ADNI_T1W_0408_T1W_1.5T.nii.gz	adni:ADNI_T1W_0408
ADNI_T1W_0408	adni	ADNI_T1W_0408	T1W	3T	1.5T	data/adni/ADNI_T1W_0408/ADNI_T1W_0408_T1W_3T.nii.gz	adni:ADNI_T1W_0408
ADNI_T1W_0409	adni	ADNI_T1W_0409	T1W	1.5T	3T	data/adni/ADNI_T1W_0409/ADNI_T1W_0409_T1W_1.5T.nii.gz	adni:ADNI_T1W_0409
ADNI_T1W_0409	adni	ADNI_T1W_0409	T1W	3T	1.5T	data/adni/ADNI_T1W_0409/ADNI_T1W_0409_T1W_3T.nii.gz	adni:ADNI_T1W_0409
ADNI_T1W_0410	adni	ADNI_T1W_0410	T1W	1.5T	3T	data/adni/ADNI_T1W_0410/ADNI_T1W_0410_T1W_1.5T.nii.gz	adni:ADNI_T1W_0410
ADNI_T1W_0410	adni	ADNI_T1W_0410	T1W	3T	1.5T	data/adni/ADNI_T1W_0410/ADNI_T1W_0410_T1W_3T.nii.gz	adni:ADNI_T1W_0410
ADNI_T1W_0411	adni	ADNI_T1W_0411	T1W	1.5T	3T	data/adni/ADNI_T1W_0411/ADNI_T1W_0411_T1W_1.5T.nii.gz	adni:ADNI_T1W_0411
ADNI_T1W_0411	adni	ADNI_T1W_0411	T1W	3T	1.5T	data/adni/ADNI_T1W_0411/ADNI_T1W_0411_T1W_3T.nii.gz	adni:ADNI_T1W_0411
ADNI_T1W_0412	adni	ADNI_T1W_0412	T1W	1.5T	3T	data/adni/ADNI_T1W_0412/ADNI_T1W_0412_T1W_1.5T.nii.gz	adni:ADNI_T1W_0412
ADNI_T1W_0412	adni	ADNI_T1W_0412	T1W	3T	1.5T	data/adni/ADNI_T1W_0412/ADNI_T1W_0412_T1W_3T.nii.gz	adni:ADNI_T1W_0412
ADNI_T1W_0413	adni	ADNI_T1W_0413	T1W	1.5T	3T	data/adni/ADNI_T1W_0413/ADNI_T1W_0413_T1W_1.5T.nii.gz	adni:ADNI_T1W_0413
ADNI_T1W_0413	adni	ADNI_T1W_0413	T1W	3T	1.5T	data/adni/ADNI_T1W_0413/ADNI_T1W_0413_T1W_3T.nii.gz	adni:ADNI_T1W_0413
ADNI_T1W_0414	adni	ADNI_T1W_0414	T1W	1.5T	3T	data/adni/ADNI_T1W_0414/ADNI_T1W_0414_T1W_1.5T.nii.gz	adni:ADNI_T1W_0414
ADNI_T1W_0414	adni	ADNI_T1W_0414	T1W	3T	1.5T	data/adni/ADNI_T1W_0414/ADNI_T1W_0414_T1W_3T.nii.gz	adni:ADNI_T1W_0414
ADNI_T1W_0415	adni	ADNI_T1W_0415	T1W	1.5T	3T	data/adni/ADNI_T1W_0415/ADNI_T1W_0415_T1W_1.5T.nii.gz	adni:ADNI_T1W_0415
ADNI_T1W_0415	adni	ADNI_T1W_0415	T1W	3T	1.5T	data/adni/ADNI_T1W_0415/ADNI_T1W_0415_T1W_3T.nii.gz	adni:ADNI_T1W_0415
ADNI_T1W_0416	adni	ADNI_T1W_0416	T1W	1.5T	3T	data/adni/ADNI_T1W_0416/ADNI_T1W_0416_T1W_1.5T.nii.gz	adni:ADNI_T1W_0416
ADNI_T1W_0416	adni	ADNI_T1W_0416	T1W	3T	1.5T	data/adni/ADNI_T1W_0416/ADNI_T1W_0416_T1W_3T.nii.gz	adni:ADNI_T1W_0416
ADNI_T1W_0417	adni	ADNI_T1W_0417	T1W	1.5T	3T	data/adni/ADNI_T1W_0417/ADNI_T1W_0417_T1W_1.5T.nii.gz	adni:ADNI_T1W_0417
ADNI_T1W_0417	adni	ADNI_T1W_0417	T1W	3T	1.5T	data/adni/ADNI_T1W_0417/ADNI_T1W_0417_T1W_3T.nii.gz	adni:ADNI_T1W_0417
ADNI_T1W_0418	adni	ADNI_T1W_0418	T1W	1.5T	3T	data/adni/ADNI_T1W_0418/ADNI_T1W_0418_T1W_1.5T.nii.gz	adni:ADNI_T1W_0418
ADNI_T1W_0418	adni	ADNI_T1W_0418	T1W	3T	1.5T	data/adni/ADNI_T1W_0418/ADNI_T1W_0418_T1W_3T.nii.gz	adni:ADNI_T1W_0418
ADNI_T1W_0419	adni	ADNI_T1W_0419	T1W	1.5T	3T	data/adni/ADNI_T1W_0419/ADNI_T1W_0419_T1W_1.5T.nii.gz	adni:ADNI_T1W_0419
ADNI_T1W_0419	adni	ADNI_T1W_0419	T1W	3T	1.5T	data/adni/ADNI_T1W_0419/ADNI_T1W_0419_T1W_3T.nii.gz	adni:ADNI_T1W_0419
ADNI_T1W_0420	adni	ADNI_T1W_0420	T1W	1.5T	3T	data/adni/ADNI_T1W_0420/ADNI_T1W_0420_T1W_1.5T.nii.gz	adni:ADNI_T1W_0420
ADNI_T1W_0420	adni	ADNI_T1W_0420	T1W	3T	1.5T	data/adni/ADNI_T1W_0420/ADNI_T1W_0420_T1W_3T.nii.gz	adni:ADNI_T1W_0420
ADNI_T1W_0421	adni	ADNI_T1W_0421	T1W	1.5T	3T	data/adni/ADNI_T1W_0421/ADNI_T1W_0421_T1W_1.5T.nii.gz	adni:ADNI_T1W_0421
ADNI_T1W_0421	adni	ADNI_T1W_0421	T1W	3T	1.5T	data/adni/ADNI_T1W_0421/ADNI_T1W_0421_T1W_3T.nii.gz	adni:ADNI_T1W_0421
ADNI_T1W_0422	adni	ADNI_T1W_0422	T1W	1.5T	3T	data/adni/ADNI_T1W_0422/ADNI_T1W_0422_T1W_1.5T.nii.gz	adni:ADNI_T1W_0422
ADNI_T1W_0422	adni	ADNI_T1W_0422	T1W	3T	1.5T	data/adni/ADNI_T1W_0422/ADNI_T1W_0422_T1W_3T.nii.gz	adni:ADNI_T1W_0422
ADNI_T1W_0423	adni	ADNI_T1W_0423	T1W	1.5T	3T	data/adni/ADNI_T1W_0423/ADNI_T1W_0423_T1W_1.5T.nii.gz	adni:ADNI_T1W_0423
ADNI_T1W_0423	adni	ADNI_T1W_0423	T1W	3T	1.5T	data/adni/ADNI_T1W_0423/ADNI_T1W_0423_T1W_3T.nii.gz	adni:ADNI_T1W_0423
